CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
203,fed/metabolite,carboxylic acid,indole-3-butyric acid,4-(1H-indol-3-yl)butanoic acid,4-(1H-indol-3-yl)butanoic acid,4-(1H-indol-3-yl)butanoic acid,JTEDVYBZBROSJT-UHFFFAOYSA-N,JTEDVYBZBROSJT-UHFFFAOYSA-N,203.0946287,C12H13NO2,C12H13NO2,203.2371,203.2371,133-32-4,133-32-4,Commercial,HMDB02096,HMDB02096,8617,8617,CP1
68,metabolite,benzaldehyde,3-hydroxy-4-methoxybenzaldehyde   ,ISOVANILLIN; Isovanilline; 3-Hydroxy-p-anisaldehyde,3-hydroxy-4-methoxybenzaldehyde,3-hydroxy-4-methoxybenzaldehyde,JVTZFYYHCGSXJV-UHFFFAOYSA-N,JVTZFYYHCGSXJV-UHFFFAOYSA-N,152.047344,C8H8O3,C8H8O3,152.14,152.14,621-59-0,621-59-0,commercial,N/A,N/A,12127,12127,CP1
275,Metabolite,taxifolin metabolite,3′-O-Methyltaxifolin,taxifolin 3-methyl ether; 3-methoxytaxifolin; Dihydroisorhamnetin,"(2R,3R)-3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-2,3-dihydrochromen-4-one","(2R,3R)-3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-2,3-dihydrochromen-4-one",JWYULKXTGMJKKM-JKSUJKDBSA-N,JWYULKXTGMJKKM-JKSUJKDBSA-N,318.073952802,C16H14O7,C16H14O7,318.28,318.28,55812-91-4,55812-91-4,Commercial,HMDB0037501,HMDB0037501,26194552 or  56658060,26194552 or  56658060,CP03
175,Metabolite,Avenanthramide metabolites,avenanthramide-B,Avenanthramide B,5-hydroxy-2-[[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]amino]benzoic acid,5-hydroxy-2-[[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]amino]benzoic acid,JXFZHMCSCYADIX-XVNBXDOJSA-N,JXFZHMCSCYADIX-XVNBXDOJSA-N,329.089937,C17H15NO6,C17H15NO6,329.3,329.3,108605-69-2,108605-69-2,data not pulled from DB,HMDB0038575,HMDB0038575,10087955,10087955,CP05
193,Metabolite,quercetin metabolites,Quercetin-7-O-glucuronide,Quercetin 7-Glucuronide,"(3S,4S,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(3S,4S,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",JXWGCVLNCGCZRU-RMMKNTHPSA-N,JXWGCVLNCGCZRU-RMMKNTHPSA-N,478.074741,C21H18O13,C21H18O13,478.4,478.4,No CAS,No CAS,Commercial,N/A,N/A,44259227,44259227,CP03
139,Fed,Vitamins ,B1 (thiamine) ,thiamine,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol","2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol",JZRWCGZRTZMZEH-UHFFFAOYSA-N,JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.112307,C12H17N4OS+,C12H17N4OS+,265.36,265.36,70-16-6,70-16-6,Commercial,HMDB0000235,HMDB0000235,1130,1130,CP03
72,metabolite,benzaldehyde,"4-hydroxy-3,5-dimethoxybenzaldehyde",Syringaldehyde,"4-hydroxy-3,5-dimethoxybenzaldehyde","4-hydroxy-3,5-dimethoxybenzaldehyde",KCDXJAYRVLXPFO-UHFFFAOYSA-N,KCDXJAYRVLXPFO-UHFFFAOYSA-N,182.057909,C9H10O4,C9H10O4,182.17,182.17,134-96-3,134-96-3,commercial,N/A,N/A,8655,8655,CP1
175,Metabolite,catechin metabolites,Catechin-5-O-glucuronide,Catechin 5-glucuronide,"(2S,3S,4S,5R,6S)-6-{[(2S,3R)-2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-{[(2S,3R)-2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",KGLMKAPOVXBIJB-AKIQRXPNSA-N,KGLMKAPOVXBIJB-AKIQRXPNSA-N,466.111126148,C21H22O12,C21H22O12,466.395,466.395,No CAS,No CAS,Commercial,HMDB0240488,HMDB0240488,71579294,71579294,CP03
157,Metabolite,epicatechin metabolites,(−)-epicatechin-5-O-glucuronide,Epicatechin-5-O-Beta-D-Glucuronide,"(2S,3S,4S,5R,6S)-6-[[2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-chromen-5-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[[2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-chromen-5-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",KGLMKAPOVXBIJB-SNFOCDISSA-N,KGLMKAPOVXBIJB-SNFOCDISSA-N,466.111126,C21H22O12,C21H22O12,466.4 ,466.4 ,223614-70-8,223614-70-8,Commercial,HMDB0240511,HMDB0240511,53993444  ,53993444  ,CP03
268,Metabolite,Gossypetin metabolites,Gossypetin-8-O-glucuronide,Gossypetin 8-glucuronide,"(3S,4S,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4-oxochromen-8-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(3S,4S,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4-oxochromen-8-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",KHVMAMXQPVHXTJ-VDQYCXPISA-N,KHVMAMXQPVHXTJ-VDQYCXPISA-N,494.069655,C21H18O14,C21H18O14,494.4,494.4,55366-56-8,55366-56-8,Commercial,N/A,N/A,44259998,44259998,CP03
54,Genistein Metabolite,Genistein Metabolite,genistein-4-sulfate,Genistein 4'-sulphate,"[4-(5,7-dihydroxy-4-oxochromen-3-yl)phenyl] hydrogen sulfate","[4-(5,7-dihydroxy-4-oxochromen-3-yl)phenyl] hydrogen sulfate",KIWWRRLFZKBEAL-UHFFFAOYSA-N,KIWWRRLFZKBEAL-UHFFFAOYSA-N,350.009638,C15H10O8S ,C15H10O8S ,350.3,350.3,No CAS,No CAS,Not Established,HMDB0129972,HMDB0129972,53997099  ,53997099  ,CP2
253,metabolite,cinnamic acid,trans-3-hydroxycinnamic acid   ,3-hydroxycinnamic acid; 3-OH-CIA; m-coumaric acid; 3-coumaric acid,(E)-3-(3-hydroxyphenyl)prop-2-enoic acid,(E)-3-(3-hydroxyphenyl)prop-2-enoic acid,KKSDGJDHHZEWEP-SNAWJCMRSA-N,KKSDGJDHHZEWEP-SNAWJCMRSA-N,164.047344,C9H8O3,C9H8O3,164.16,164.16,14755-02-3,14755-02-3,commercial,HMDB0001713,HMDB0001713,637541,637541,CP1
83,metabolite,benzene,"2-hydroxy-1,3-methoxybenzene   ","2,6-Dimethoxyphenol, dimethoxy-hydroxybenzene; 2-OH-13-OCH-B","2,6-dimethoxyphenol","2,6-dimethoxyphenol",KLIDCXVFHGNTTM-UHFFFAOYSA-N,KLIDCXVFHGNTTM-UHFFFAOYSA-N,154.0629942,C8H10O3,C8H10O3,154.16,154.16,91-10-1,91-10-1,commercial,HMDB0034158,HMDB0034158,7041,7041,CP1
297,fed/metabolite,flavone,apigenin-7-O-glucoside,Cosmosiin; apig-7-O-gluc,"5-hydroxy-2-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","5-hydroxy-2-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",KMOUJOKENFFTPU-QNDFHXLGSA-N,KMOUJOKENFFTPU-QNDFHXLGSA-N,432.1056468,C21H20O10,C21H20O10,432.3775,432.3775,578-74-5,578-74-5,Commercial,HMDB37340,HMDB37340,5280704,5280704,CP1
328,Metabolite,resveratrol metabolites,trans-resveratrol-4-sulfate,trans-resveratrol-4-O-sulfate,"[4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]phenyl] hydrogen sulfate","[4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]phenyl] hydrogen sulfate",KOTTWDFKZULRPN-OWOJBTEDSA-N,KOTTWDFKZULRPN-OWOJBTEDSA-N,308.0354588,C14H12O6S,C14H12O6S,308.306,308.306,No CAS,No CAS,Commercial,HMDB0041784,HMDB0041784,29986833,29986833,CP03
327,Metabolite,resveratrol metabolites,cis-resveratrol-4-sulfate,cis-resveratrol-4-O-sulfate,"[4-[(Z)-2-(3,5-dihydroxyphenyl)ethenyl]phenyl] hydrogen sulfate","[4-[(Z)-2-(3,5-dihydroxyphenyl)ethenyl]phenyl] hydrogen sulfate",KOTTWDFKZULRPN-UPHRSURJSA-N,KOTTWDFKZULRPN-UPHRSURJSA-N,308.0354588,C14H12O6S,C14H12O6S,308.306,308.306,No CAS,No CAS,Commercial,HMDB0041714,HMDB0041714,97107241,97107241,CP03
341,Fed,lignan,(+)-Syringaresinol,n/a,"4-[(3S,3aR,6S,6aR)-6-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2,6-dimethoxyphenol","4-[(3S,3aR,6S,6aR)-6-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2,6-dimethoxyphenol",KOWMJRJXZMEZLD-HCIHMXRSSA-N,KOWMJRJXZMEZLD-HCIHMXRSSA-N,418.162768,C22H26O8,C22H26O8,418.4,418.4,21453-69-0,21453-69-0,Commercial,N/A,N/A,443023,443023,CP03
26,Diet/Food,lignan,syringaresinol,DL-Syringaresinol,"4-[6-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2,6-dimethoxyphenol  ","4-[6-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2,6-dimethoxyphenol  ",KOWMJRJXZMEZLD-UHFFFAOYSA-N ,KOWMJRJXZMEZLD-UHFFFAOYSA-N ,418.162768,C22H26O8,C22H26O8,418.4,418.4,1177-14-6,1177-14-6,Not Established,N/A,N/A,100067 ,100067 ,CP2
78,Taxifolin Metabolite,Taxifolin Metabolite,4′-O-Methyltaxifolin,Dihydrotamarixetin,"3,5,7-trihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one","3,5,7-trihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one",KQNGHARGJDXHKF-UHFFFAOYSA-N,KQNGHARGJDXHKF-UHFFFAOYSA-N,318.073953,C16H14O7,C16H14O7,318.28,318.28,603-61-2,603-61-2,Not Established,HMDB0002937,HMDB0002937,482576,482576,CP2
254,metabolite,cinnamic acid,trans-4-hydroxy-3-methoxycinnamic acid   ,trans-Ferulic acid,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,KSEBMYQBYZTDHS-HWKANZROSA-N,194.0579088,C10H10O4,C10H10O4,194.18,194.18,1135-24-6 or 537-98-4,1135-24-6 or 537-98-4,Commercial,HMDB0000954,HMDB0000954,445858,445858,CP1
130,metabolite,benzoic acid,"3,4-dihydroxy-5-methoxybenzoic acid   ",3-O-Methylgallic acid,"3,4-dihydroxy-5-methoxybenzoic acid","3,4-dihydroxy-5-methoxybenzoic acid",KWCCUYSXAYTNKA-UHFFFAOYSA-N,KWCCUYSXAYTNKA-UHFFFAOYSA-N,184.037173,C8H8O5,C8H8O5,184.147,184.147,3934-84-7,3934-84-7,commercial,N/A,N/A,19829,19829,CP1
412,metabolite,phenylpropanoic acid,3-(3-methoxyphenyl)propanoic acid-4-O-glucuronide,3-(4-hydroxy-3-methoxyphenyl)propanoic acid-4-O-glucuronide; dihydro ferulic acid 4-O-β-D-glucuronide; 3-(3-methoxyphenyl)propanoic acid-4-O-glucuronide ,"(2S,3S,4S,5R,6S)-6-[4-(2-carboxyethyl)-2-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[4-(2-carboxyethyl)-2-methoxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",KYERCTIKYSSKPA-JHZZJYKESA-N ,KYERCTIKYSSKPA-JHZZJYKESA-N,372.105647,C₁₆H₂₀O₁₀,C₁₆H₂₀O₁₀,372.32,372.32,86321-28-0,86321-28-0,synthetic,HMDB0041723,HMDB0041723,190069,190069,CP1
7,Diet/Food,Isoflavone,daidzin,Daidzein 7-glucoside,"3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",KYQZWONCHDNPDP-QNDFHXLGSA-N,KYQZWONCHDNPDP-QNDFHXLGSA-N,416.110732,C21H20O9,C21H20O9,416.4,416.4,552-66-9,552-66-9,Not Established,HMDB0033991,HMDB0033991,107971 ,107971 ,CP2
27,Diet/Food,Sterols,beta-sitosterol,(-)-beta-Sitosterol,"(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS-VJSFXXLFSA-N,414.386166,C29H50O ,C29H50O ,414.7,414.7,83-46-5,83-46-5,Not Established,HMDB0000852,HMDB0000852,222284,222284,CP2
14,metabolite,anthocyanin,malvidin,malvidin chloride,"2-(4-hydroxy-3,5-dimethoxyphenyl)chromenylium-3,5,7-triol;chloride","2-(4-hydroxy-3,5-dimethoxyphenyl)chromenylium-3,5,7-triol",KQIKOUUKQBTQBE-UHFFFAOYSA-N,KZMACGJDUUWFCH-UHFFFAOYSA-O,331.081778,C17H15ClO7,C17H15O7+,366.75,331.297,643-84-5,10463-84-0,commercial,N/A,N/A,69512,159287,CP1
9,Fed,Flavone,apigenin,"5,7-Dihydroxy-2-(4-hydroxyphenyl)-4H-chromen-4-one","5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one","5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",KZNIFHPLKGYRTM-UHFFFAOYSA-N,KZNIFHPLKGYRTM-UHFFFAOYSA-N,270.052823,C15H10O5,C15H10O5,270.24,270.24,520-36-5,520-36-5,data not pulled from DB,HMDB0002124,HMDB0002124,5280443,5280443,CP05
139,metabolite,benzoic acid,3-hydroxy-4-methoxybenzoic acid   ,Isovanillic acid,3-hydroxy-4-methoxybenzoic acid,3-hydroxy-4-methoxybenzoic acid,LBKFGYZQBSGRHY-UHFFFAOYSA-N,LBKFGYZQBSGRHY-UHFFFAOYSA-N,168.0422587,C8H8O4,C8H8O4,168.15,168.15,645-08-9,645-08-9,commercial,HMDB0060003,HMDB0060003,12575,12575,CP1
190,Metabolite,flavanone metabolite,Naringenin-7-sulfate,Naringenin 7-Sulfate,"[(2S)-5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl] hydrogen sulfate","[(2S)-5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl] hydrogen sulfate",LCXKYLMSILXZFG-ZDUSSCGKSA-N,LCXKYLMSILXZFG-ZDUSSCGKSA-N,353.032565,C15H13O8S,C15H13O8S,352.3,352.3,N/A,N/A,Commercial,HMDB0240547,HMDB0240547,101019951  ,101019951  ,CP04
387,metabolite,phenylacetic acid,3-methoxyphenylacetic acid   ,M-methoxyphenylacetic acid,2-(3-methoxyphenyl)acetic acid,2-(3-methoxyphenyl)acetic acid,LEGPZHPSIPPYIO-UHFFFAOYSA-N,LEGPZHPSIPPYIO-UHFFFAOYSA-N,166.0629942,C9H10O3,C9H10O3,166.17,166.17,1798-09-0 ,1798-09-0 ,commercial,HMDB0059969,HMDB0059969,15719,15719,CP1
421,metabolite,phenylpropanoic acid,"3,4-dimethoxyphenylpropanoic acid","3-(3,4-dimethoxyphenyl)propionic acid; 3-(3,4-dimethoxyphenyl)propanoic acid; 3,4-dimethoxyhydrocinnamic acid; 209.2-164.8-P","3-(3,4-dimethoxyphenyl)propanoic acid","3-(3,4-dimethoxyphenyl)propanoic acid",LHHKQWQTBCTDQM-UHFFFAOYSA-N,LHHKQWQTBCTDQM-UHFFFAOYSA-N,210.089209,C11H14O4,C11H14O4,210.2,210.2,2107-70-2,2107-70-2,commercial,N/A,N/A,75019,75019,CP1
132,Fed,sugar,fructose,D-Fructopyranose,"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol","(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol",LKDRXBCSQODPBY-VRPWFDPXSA-N,LKDRXBCSQODPBY-VRPWFDPXSA-N,180.063388,C6H12O6,C6H12O6,180.16,180.16,53188-23-1; 7660-25-5; 57-48-7; 6347-01-9 (PubChem),53188-23-1; 7660-25-5; 57-48-7; 6347-01-9 (PubChem),Commercial,HMDB0000660,HMDB0000660,2723872,2723872,CP03
95,Fed, flavonol,kaempferol-3-O-sophoroside,Sophoraflavonoloside,"3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one","3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",LKZDFKLGDGSGEO-UJECXLDQSA-N,LKZDFKLGDGSGEO-UJECXLDQSA-N,610.153385,C27H30O16,C27H30O16,610.5,610.5,19895-95-5,19895-95-5,Commercial,N/A,N/A,5282155,5282155,CP03
47,Estradiol Metabolites,Estradiol Metabolites,2-Methoxy-estradiol-17beta 3-glucuronide,2-Methoxy-estradiol-17b 3-glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[[(8R,9S,13S,14S,17S)-17-hydroxy-2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl]oxy]oxane-2-carboxylic acid ","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[[(8R,9S,13S,14S,17S)-17-hydroxy-2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl]oxy]oxane-2-carboxylic acid ",LLCPFVIBUZJITJ-GVEMAFOVSA-N,LLCPFVIBUZJITJ-GVEMAFOVSA-N,478.220283,C25H34O9,C25H34O9,478.5,478.5,No CAS,No CAS,Not Established,HMDB0006765,HMDB0006765,443076 ,443076 ,CP2
38,Fed,Avenanthramide,Avenanthramide 1c,N/A,"2-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]amino]benzoic acid","2-[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]amino]benzoic acid",LLPIRWBXMYKFQM-SOFGYWHQSA-N,LLPIRWBXMYKFQM-SOFGYWHQSA-N,299.079373,C16H13NO5,C16H13NO5,299.28,299.28,NO CAS,NO CAS,data not pulled from DB,HMDB0029284,HMDB0029284,9861088,9861088,CP05
126,fed/metabolite,benzoic acid,"3,4,5-trihydroxybenzoic acid",Gallic acid,"3,4,5-trihydroxybenzoic acid","3,4,5-trihydroxybenzoic acid",LNTHITQWFMADLM-UHFFFAOYSA-N,LNTHITQWFMADLM-UHFFFAOYSA-N,170.0215233,C7H6O5,C7H6O5,170.12,170.12,149-91-7,149-91-7,Commercial,HMDB0005807,HMDB0005807,370,370,CP1
180,metabolite,benzoylglutamic Acid,N-benzoylglutamic acid,N-Benzoyl-L-glutamic acid,(2S)-2-benzamidopentanedioic acid,(2S)-2-benzamidopentanedioic acid,LPJXPACOXRZCCP-VIFPVBQESA-N,LPJXPACOXRZCCP-VIFPVBQESA-N,251.079373,C12H13NO5,C12H13NO5,251.238,251.238,6094-36-6,6094-36-6,commercial,N/A,N/A,11345724,11345724,CP1
250,metabolite,cinnamic acid,caffeic acid 4-O-glucuronide,"Caffeic Acid-4-β-D-Glucuronide; 3,4-dihydroxycinnamic acid-4-O-Glucuronide; Caffeic acid 4-O-glucuronide","(2~{S},3~{S},4~{S},5~{R},6~{S})-6-[4-[(~{E})-2-carboxyethenyl]-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2~{S},3~{S},4~{S},5~{R},6~{S})-6-[4-[(~{E})-2-carboxyethenyl]-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",LTGOIJNQWZWJRF-ZYZFHZPYSA-N,LTGOIJNQWZWJRF-ZYZFHZPYSA-N,356.0743467,C₁₅H₁₆O₁₀,C₁₅H₁₆O₁₀,356.28,356.28,1093679-71-0,1093679-71-0,synthetic,HMDB0041707,HMDB0041707,25171780,25171780,CP1
435,Fed/Diet,stilbene,resveratrol   ,"3,4',5-Trihydroxystilbene","5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol","5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",LUKBXSAWLPMMSZ-OWOJBTEDSA-N,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,228.0786442,C14H12O3,C14H12O3,228.24,228.24,501-36-0,501-36-0,commercial,HMDB0003747,HMDB0003747,445154,445154,CP1
320,Metabolite,resveratrol metabolites,cis-resveratrol,cis-resveratrol,"5-[(Z)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol","5-[(Z)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",LUKBXSAWLPMMSZ-UPHRSURJSA-N,LUKBXSAWLPMMSZ-UPHRSURJSA-N,228.0786442,C14H12O3,C14H12O3,228.247,228.247,61434-67-1,61434-67-1,Commercial,HMDB34118,HMDB34118,1548910  ,1548910  ,CP03
175,metabolite,benzoic acid methyl ester,4-hydroxybenzoic acid methyl ester   ,Methylparaben,methyl 4-hydroxybenzoate,methyl 4-hydroxybenzoate,LXCFILQKKLGQFO-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,152.0473441,C8H8O3,C8H8O3,152.15,152.15,99-76-3,99-76-3,commercial,HMDB0032572,HMDB0032572,7456,7456,CP1
142,Fed,Vitamins ,B6 (pyridoxine) ,pyridoxine,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol","4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",LXNHXLLTXMVWPM-UHFFFAOYSA-N,LXNHXLLTXMVWPM-UHFFFAOYSA-N,169.073893,C8H11NO3,C8H11NO3,169.18,169.18,65-23-6,65-23-6,Commercial,HMDB0000239,HMDB0000239,1054,1054,CP03
103,Metabolite,linarin metabolites,7-O-Methylacacetin,"7-Methyl acacetin; Apigenin 7,4'-dimethyl ether",5-hydroxy-7-methoxy-2-(4-methoxyphenyl)chromen-4-one,5-hydroxy-7-methoxy-2-(4-methoxyphenyl)chromen-4-one,LZERJKGWTQYMBB-UHFFFAOYSA-N,LZERJKGWTQYMBB-UHFFFAOYSA-N,298.084124,C17H14O5,C17H14O5,298.29,298.29,5128-44-9,5128-44-9,data not pulled from DB,HMDB0132454,HMDB0132454,5281601,5281601,CP05
243,metabolite,cinnamic acid,3-methoxycinnamic acid ,O-Methyl-m-cumaric Acid,(E)-3-(3-methoxyphenyl)prop-2-enoic acid,(E)-3-(3-methoxyphenyl)prop-2-enoic acid,LZPNXAULYJPXEH-AATRIKPKSA-N,LZPNXAULYJPXEH-AATRIKPKSA-N,178.062994,C10H10O3,C10H10O3,178.19,178.19,6099-04-3,6099-04-3,commercial,HMDB0125518,HMDB0125518,637668,637668,CP1
18,Diet/Food,lignan,matairesinol,Matairesinol,"(3R,4R)-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one","(3R,4R)-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one",MATGKVZWFZHCLI-LSDHHAIUSA-N,MATGKVZWFZHCLI-LSDHHAIUSA-N,358.141638,C20H22O6 ,C20H22O6 ,358.4,358.4,580-72-3,580-72-3,Not Established,HMDB0035698,HMDB0035698,119205,119205,CP2
1,metabolite,(ethyl)indole,3-(2-hydroxyethyl)indole,2-(1H-Indol-3-yl)ethanol; 3-(b-Hydroxyethyl)indole; tryptophol,2-(1H-indol-3-yl)ethanol,2-(1H-indol-3-yl)ethanol,MBBOMCVGYCRMEA-UHFFFAOYSA-N,MBBOMCVGYCRMEA-UHFFFAOYSA-N,161.084064,C10H11NO,C10H11NO,161.2,161.2,526-55-6,526-55-6,commercial,HMDB03447,HMDB03447,10685,10685,CP1
121,metabolite,benzoic acid,"2,6-dimethoxybenzoic acid   ","Benzoic acid, 2,6-dimethoxy","2,6-dimethoxybenzoic acid","2,6-dimethoxybenzoic acid",MBIZFBDREVRUHY-UHFFFAOYSA-N,MBIZFBDREVRUHY-UHFFFAOYSA-N,182.0579088,C9H10O4,C9H10O4,182.17,182.17,1466-76-8,1466-76-8,commercial,HMDB0029273,HMDB0029273,15109,15109,CP1
146,metabolite,benzoic acid,3-methoxy-benzoic acid-4-O-glucuronide  ,vanillic acid-4-O glucuronide; VA4G; 0008-01-7s,"(2S,3S,4R,5R,6S)-6-(4-carboxy-2-methoxyphenoxy)-3,4-dihydroxy-5-methyloxane-2-carboxylic acid",N/A,MBNPZIKKKDDLLL-QGZCQISNSA-N,MBNPZIKKKDDLLL-QGZCQISNSA-N,342.095082,C15H18O9,C15H18O9,342.3,342.3,No CAS,No CAS,synthetic,HMDB0060024,HMDB0060024,124202104,124202104,CP1
